Date ; Time ;Ceïa virsmas temperatûra °C ;Temperatûra -5 cm °C ;Temperatûra -30 cm °C ;Sasalðanas temperatûra °C ;Ûdens filmas biezums µm ;Sâls koncentrâcija % ;Ceïa stâvoklis logic ;Vçja âtrums m/s ;Vçja virziens ° ;Vçja âtrums Max m/s ;Gaisa temperatûra °C ;Rel. mitrums % ;Rasas punkts °C ;Nokriðòu daudz. dif. l/m² ;Nokriðòu tips  ;Redzamîba m ;Nokriðòu daudz. apsol. mm ;
2019/09/09;00:01:00;19.90;23.20;23.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.96;79.70;15.37;0.00;0.00;2000.00;20.47;
2019/09/09;00:06:00;19.90;23.20;23.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.85;80.24;15.37;0.00;0.00;2000.00;20.47;
2019/09/09;00:11:00;19.80;23.20;23.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.81;80.67;15.41;0.00;0.00;2000.00;20.47;
2019/09/09;00:16:00;19.80;23.10;23.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.76;81.13;15.45;0.00;0.00;2000.00;20.47;
2019/09/09;00:21:00;19.70;23.10;23.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.61;81.39;15.36;0.00;0.00;2000.00;20.47;
2019/09/09;00:26:00;19.60;23.10;23.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.47;81.72;15.29;0.00;0.00;2000.00;20.47;
2019/09/09;00:31:00;19.60;23.10;23.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.25;82.17;15.16;0.00;0.00;2000.00;20.47;
2019/09/09;00:36:00;19.60;23.10;23.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.17;82.60;15.16;0.00;0.00;2000.00;20.47;
2019/09/09;00:41:00;19.70;23.00;23.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.10;83.09;15.18;0.00;0.00;2000.00;20.47;
2019/09/09;00:46:00;19.80;23.00;23.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.05;83.62;15.23;0.00;0.00;2000.00;20.47;
2019/09/09;00:51:00;19.90;23.00;23.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.08;84.03;15.34;0.00;0.00;2000.00;20.47;
2019/09/09;00:56:00;19.90;23.00;23.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.18;84.52;15.53;0.00;0.00;2000.00;20.47;
